DEPT    CAL   CILD   CNSS    DT    DRHO   GR    RHOB    ILD    SP                                                                
   201.600    12.8350    69.2910   -99999.0   107.4800   -99999.0    63.0710   -99999.0    13.5430    40.9450 
   201.800    12.5042    66.1421   -99999.0   105.9841   -99999.0    57.8750   -99999.0    13.8582    41.8901 
   202.000    11.4490    62.9920   -99999.0   104.1730   -99999.0    53.1500   -99999.0    14.4880    42.2050 
   202.200    11.3860    59.8430   -99999.0   103.7800   -99999.0    45.5910   -99999.0    15.1180    42.5200 
   202.400    11.3540    55.1180   -99999.0   103.7010   -99999.0    46.7720   -99999.0    16.0630    41.5750 
   202.600    11.1650    55.1180   -99999.0   105.9060   -99999.0    47.9531   -99999.0    16.6929    41.2600 
   202.800    10.9450    56.6930   -99999.0   107.0080   -99999.0    49.8430   -99999.0    17.3230    40.9450 
   203.000    10.9130    56.6930   -99999.0   110.2360   -99999.0    47.7170   -99999.0    17.1650    40.6300 
   203.200    11.1340    58.2680   -99999.0   111.1020   -99999.0    43.2280   -99999.0    16.6930    40.3150 
   203.400    11.1340    56.6930   -99999.0   110.7090   -99999.0    44.6460   -99999.0    16.0630    40.3150 
   203.600    11.1180    55.1182   -99999.0   108.9761   -99999.0    47.9529   -99999.0    16.2200    40.3150 
   203.800    11.0710    51.9690   -99999.0   108.9760   -99999.0    51.4960   -99999.0    16.3780    40.3150 
   204.000    11.3860    50.3940   -99999.0   110.0000   -99999.0    52.2050   -99999.0    17.0080    40.6300 
   204.200    11.3860    48.8190   -99999.0   110.3940   -99999.0    52.9130   -99999.0    17.6380    40.3150 
   204.400    11.3700    47.2440   -99999.0   110.0790   -99999.0    49.1340   -99999.0    18.2680    40.0000 
   204.600    11.2910    45.6689   -99999.0   109.1340   -99999.0    48.4248   -99999.0    19.2129    39.3701 
   204.800    11.0710    45.6690   -99999.0   106.9290   -99999.0    48.6610   -99999.0    20.4720    39.3700 
   205.000    11.0240    42.5200   -99999.0   107.0870   -99999.0    46.5350   -99999.0    21.7320    39.3700 
   205.200    11.0390    33.0710   -99999.0   109.1340   -99999.0    43.4650   -99999.0    24.5670    39.3700 
   205.400    10.9920    29.9210   -99999.0   109.0550   -99999.0    45.8270   -99999.0    28.3460    39.6850 
   205.600    10.6460    25.1914   -99999.0   105.1973   -99999.0    48.1890   -99999.0    35.9062    40.3149 
   205.800    10.5200    23.6220   -99999.0   101.1810   -99999.0    42.2830   -99999.0    40.6300    40.0000 
   206.000    10.4570    22.0470   -99999.0    96.8500   -99999.0    41.3390   -99999.0    40.9450    39.6850 
   206.200    10.3940    20.4720   -99999.0    95.8270   -99999.0    42.2830   -99999.0    36.8500    39.3700 
   206.400    10.3460    25.1970   -99999.0    95.8270   -99999.0    41.5750   -99999.0    34.0160    39.0550 
   206.600    10.3310    31.5000   -99999.0    99.4490   -99999.0    42.5203   -99999.0    33.3860    39.0550 
   206.800    10.3620    39.3700   -99999.0   101.9690   -99999.0    53.8580   -99999.0    23.3070    39.3700 
   207.000    10.4410    47.2440   -99999.0   105.3540   -99999.0    58.8190   -99999.0    19.8430    40.0000 
   207.200    10.4880    62.9920   -99999.0   107.0080   -99999.0    58.5830   -99999.0    17.0080    40.0000 
   207.400    11.1340    69.2910   -99999.0   106.7720   -99999.0    58.3460   -99999.0    17.1340    39.6850 
   207.600    10.9450    62.9922   -99999.0   107.6382   -99999.0    63.7812   -99999.0    17.6382    40.0000 
   207.800    10.9450    56.6930   -99999.0   108.0310   -99999.0    69.4490   -99999.0    19.2440    40.3150 
   208.000    11.7170    37.7950   -99999.0   104.2520   -99999.0    69.9210   -99999.0    27.7170    40.6300 
   208.200    10.8820    31.4960   -99999.0   100.9450   -99999.0    61.6540   -99999.0    30.5510    41.5750 
   208.400    10.7720    23.6220   -99999.0    96.5350   -99999.0    51.9690   -99999.0    36.5350    42.8350 
   208.600    10.8030    15.7461   -99999.0    89.8398   -99999.0    39.4492   -99999.0    51.3398    43.1501 
   208.800    10.8350    22.0470   -99999.0    88.8980   -99999.0    37.5590   -99999.0    51.0240    43.4650 
   209.000    11.0550    37.7950   -99999.0    88.9760   -99999.0    35.4330   -99999.0    42.5200    43.7800 
